year	period	no.ice	doy	enso	co2	sunspots	air.t.as	aod	reff
1667	1	0	-21	-0.528	277.5752		14.452	0.017	0.26
1668	1	0	-46	-0.85	277.5332		13.764	0.048	0.37
1669	1	0	-6	0.09	277.4881		14.908	0.011	0.23
1670	1	0	-25	-1.346	277.4402		14.461	0.002	0.2
1671	1	1	NA	0.93	277.3898		13.634	0	0.2
1672	1	0	-36	0.555	277.3372		15.113	0	0.2
1673	1	0	-9	-0.209	277.2825		14.759	0.07	0.41
1674	1	0	-13	1.485	277.2261		15.085	0.128	0.51
1675	1	0	-10	-0.573	277.1682		15.141	0.049	0.37
1676	1	0	-26	-1.312	277.1091		14.099	0.018	0.26
1677	1	0	2	0.547	277.0491		14.275	0.007	0.2
1678	1	0	-26	0.593	276.9884		14.675	0.001	0.2
1679	1	0	-34	-1.207	276.9273		14.294	0	0.2
1680	1	0	-34	1.686	276.8661		14.824	0.021	0.28
1681	1	0	-10	-0.621	276.805		15.187	0.018	0.27
1682	1	NA	NA	-0.228	276.7443		15.048	0.007	0.2
1683	1	NA	NA	2.222	276.6843		15.15	0.002	0.2
1684	1	NA	NA	-0.365	276.6252		15.289	0.001	0.2
1685	1	NA	NA	-2.772	276.5673		15.224	0	0.2
1686	1	NA	NA	-0.762	276.5108		14.852	0.006	0.2
1687	1	NA	NA	1.599	276.4561		15.448	0.003	0.2
1688	1	NA	NA	0.269	276.4034		14.722	0.002	0.2
1689	1	NA	NA	0.364	276.3529		14.899	0.001	0.2
1690	1	NA	NA	-0.407	276.305		15.103	0	0.2
1691	1	NA	NA	-1.183	276.2598		14.629	0	0.2
1692	1	NA	NA	1.152	276.2176		13.466	0	0.2
1693	1	NA	NA	0.327	276.1784		15.131	0	0.2
1694	1	NA	NA	0.406	276.1424		14.657	0.105	0.48
1695	1	NA	NA	0.94	276.1096		14.238	0.158	0.54
1696	1	0	-33	-1.366	276.0803		14.499	0.171	0.56
1697	1	NA	NA	-0.247	276.0545		14.638	0.075	0.43
1698	1	NA	NA	-1.228	276.0324		13.875	0.033	0.32
1699	1	NA	NA	0.45	276.014		14.75	0.009	0.21
1700	1	NA	NA	0.114	275.9996	5	14.703	0.004	0.2
1701	1	NA	NA	1.401	275.9892	11	15.01	0.001	0.2
1702	1	1	NA	1.219	275.9829	16	14.554	0.002	0.2
1703	1	NA	NA	-1.238	275.9809	23	13.848	0	0.2
1704	1	NA	NA	-0.993	275.9834	36	14.592	0.005	0.2
1705	1	NA	NA	-0.099	275.9903	58	14.964	0.002	0.2
1706	1	NA	NA	0.877	276.002	29	14.527	0.004	0.2
1707	1	NA	NA	0.017	276.0184	20	14.303	0.001	0.2
1708	1	NA	NA	-1.19	276.0397	10	14.508	0	0.2
1709	1	NA	NA	-0.655	276.066	8	15.02	0	0.2
1710	1	NA	NA	1.148	276.0974	3	14.973	0	0.2
1711	1	NA	NA	0.132	276.1342	0	15.057	0	0.2
1712	1	NA	NA	0.462	276.1763	0	14.834	0	0.2
1713	1	NA	NA	0.237	276.224	2	14.629	0	0.2
1714	1	NA	NA	0.146	276.2773	11	13.587	0	0.2
1715	1	NA	NA	-0.376	276.3363	27	14.517	0.001	0.2
1716	1	NA	NA	-0.867	276.4013	47	14.21	0	0.2
1717	1	NA	NA	-0.992	276.4723	63	14.201	0	0.2
1718	1	NA	NA	0.462	276.5494	60	12.889	0	0.2
1719	1	NA	NA	0.659	276.6328	39	14.238	0	0.2
